,dateHourMinute,adMatchedQuery,city,screenResolution,browser,operatingSystem,mobileDeviceInfo,adSlot,adMatchType,impressions,adClicks,adCost,pageviews,timeOnPage,ctr,screenResolutionDist,adMatchedQueryLenDist,hasFarmaOnQuery
0,2019-01-15 07:53:00,farmácia são paulo olinda estoque,Recife,360x640,Chrome,Android,Motorola Moto G (4) Moto G4,Google search: Top,Phrase match,1.0,1.0,0.27,1.0,288.2,1.0,x-small,short,True
1,2019-01-15 07:54:00,farmacia independente olinda,Olinda,360x640,Chrome,Android,Samsung SM-A520F Galaxy A5 (2017),Google search: Top,Broad match,1.0,1.0,0.27,3.0,15.0,1.0,x-small,short,True
2,2019-01-15 08:12:00,vick baby rub comprar,Olinda,360x640,Chrome,Android,Samsung SM-G531H Galaxy Grand Prime,Google search: Other,Broad match,1.0,1.0,0.23,,276.0,1.0,x-small,short,False
3,2019-01-15 08:50:00,lacday similar,Recife,320x569,Chrome,Android,Samsung SM-G570M J5 Prime,Google search: Top,Phrase match,1.0,1.0,0.27,3.0,38.0,1.0,x-small,very short,False
4,2019-01-15 09:39:00,velunid generico onde comprar,Paulista,360x640,Chrome,Android,Motorola Moto G (4) Moto G4,Google search: Top,Broad match,1.0,1.0,0.27,3.0,13.0,1.0,x-small,short,False
5,2019-01-15 09:41:00,pomada huggies,Recife,360x640,Chrome,Android,Samsung SM-J710MN Galaxy J7 (2016),Google search: Other,Phrase match,1.0,1.0,0.27,2.0,289.0,1.0,x-small,very short,False
6,2019-01-15 09:51:00,farmacia pague menos entrega em olinda,Recife,412x732,Chrome,Android,Samsung SM-A720F Galaxy A7 (2017),Google search: Top,Phrase match,1.0,1.0,0.27,1.0,288.2,1.0,x-small,medium,True
7,2019-01-15 09:56:00,onde encontrar algestona para revenda,Recife,360x640,Chrome,Android,Samsung SM-J530G J5 Pro,Google search: Top,Broad match,1.0,1.0,0.25,3.0,189.0,1.0,x-small,medium,False
8,2019-01-15 09:57:00,60mg com 60 comprimidos,Recife,412x732,Chrome,Android,Samsung SM-A720F Galaxy A7 (2017),Search partners: Other,Phrase match,,1.0,0.13,6.0,107.0,,x-small,short,False
9,2019-01-15 10:00:00,onde encontrar algestona para revenda,Recife,360x640,Chrome,Android,Samsung SM-J530G J5 Pro,Google search: Top,Broad match,1.0,1.0,0.25,4.0,148.0,1.0,x-small,medium,False
10,2019-01-15 10:16:00,onde encontrar capsulas de sucupira sucuflam,Recife,768x1024,Chrome,Android,Samsung SM-T719Y Galaxy Tab S2 8.0,Google search: Top,Phrase match,1.0,1.0,0.27,2.0,9.0,1.0,medium,medium,False
11,2019-01-15 10:29:00,onde comprar finna's gold,Recife,360x640,Chrome,Android,Samsung SM-J701MT,Google search: Top,Broad match,1.0,,0.54,2.0,12.0,,x-small,short,False
12,2019-01-15 10:45:00,genérico de varicell,Recife,320x570,Chrome,Android,LG X230 K7 2017,Google search: Top,Broad match,1.0,1.0,0.27,1.0,288.2,1.0,x-small,short,False
13,2019-01-15 11:03:00,maracugina comprar online,Recife,360x640,Chrome,Android,Motorola MotoG3,Google search: Top,Broad match,1.0,1.0,0.27,3.0,11.0,1.0,x-small,short,False
14,2019-01-15 11:27:00,blue life emagrecedor comprar em recifr,Paulista,360x640,Chrome,Android,Samsung SM-J700F Galaxy J7 2015,Google search: Top,Phrase match,1.0,1.0,0.27,1.0,288.2,1.0,x-small,medium,False
15,2019-01-15 12:55:00,farmacia permanente,Recife,360x640,Chrome,Android,LG F670S K10,Google search: Top,Exact match,1.0,1.0,0.27,9.0,146.0,1.0,x-small,short,True
16,2019-01-15 13:05:00,farmacia em rio doce,Paulista,360x640,Chrome,Android,Lenovo Moto G (5S) Plus,Google search: Top,Broad match,,1.0,0.19,2.0,10.0,,x-small,short,True
17,2019-01-15 13:16:00,comprar acitretina,Recife,360x640,Chrome,Android,Samsung SM-J320M Galaxy J3 Duos,Google search: Top,Broad match,1.0,1.0,0.27,1.0,288.2,1.0,x-small,very short,False
18,2019-01-15 13:18:00,farmacia quatro cantos,Recife,360x640,Chrome,Android,Samsung SM-G570M J5 Prime,Google search: Top,Phrase match,1.0,1.0,0.27,2.0,11.0,1.0,x-small,short,True
